PLAYER,POSITION,TEAM,POSRANK,BYE,MB,MC,TC,EK,FY,AVG
1. David Johnson, RB, ARI,RB1,8,1,1,3,1,2,1.6
2. Le'Veon Bell, RB, PIT,RB2,9,2,2,2,2,1,1.8
3. Antonio Brown, WR, PIT,WR1,9,3,4,1,4,3,3
4. Ezekiel Elliott, RB, DAL,RB3,6,8,3,5,3,4,4.6
5. Odell Beckham Jr., WR, NYG,WR2,8,5,6,7,5,5,5.6
6. Julio Jones, WR, ATL,WR3,5,6,5,4,7,6,5.6
7. Jordy Nelson, WR, GB,WR4,8,4,8,6,8,11,7.4
8. Mike Evans, WR, TB,WR5,1,7,9,13,6,7,8.4
9. LeSean McCoy, RB, BUF,RB4,6,9,11,8,10,9,9.4
10. A.J. Green, WR, CIN,WR6,6,10,7,10,13,8,9.6
11. Michael Thomas, WR, NO,WR7,5,11,10,11,9,12,10.6
12. Devonta Freeman, RB, ATL,RB5,5,11,12,9,12,10,10.8
13. Melvin Gordon, RB, LAC,RB6,9,12,13,12,11,16,12.8
14. Brandin Cooks, WR, NE,WR8,9,12,16,16,14,15,14.6
15. Jordan Howard, RB, CHI,RB7,9,15,19,18,15,13,16
16. DeMarco Murray, RB, TEN,RB8,8,13,21,15,16,17,16.4
17. Doug Baldwin, WR, SEA,WR9,6,14,17,14,17,20,16.4
18. Jay Ajayi, RB, MIA,RB9,1,25,14,20,18,21,19.6
19. Todd Gurley, RB, LAR,RB10,8,20,20,17,19,24,20
20. Amari Cooper, WR, OAK,WR10,10,22,22,24,21,18,21.4
21. T.Y. Hilton, WR, IND,WR11,11,31,15,23,20,19,21.6
22. Rob Gronkowski, TE, NE,TE1,9,15,24,19,33,22,22.6
23. Dez Bryant, WR, DAL,WR12,6,18,23,27,32,14,22.8
24. Leonard Fournette, RB, JAC,RB11,8,23,29,29,26,25,26.4
25. Demaryius Thomas, WR, DEN,WR13,5,35,25,26,22,27,27
26. Terrelle Pryor Sr., WR, WAS,WR14,5,29,26,37,23,23,27.6
27. Lamar Miller, RB, HOU,RB12,7,30,31,25,24,30,28
28. DeAndre Hopkins, WR, HOU,WR15,7,40,18,21,35,33,29.4
29. Alshon Jeffery, WR, PHI,WR16,10,34,27,28,36,28,30.6
30. Isaiah Crowell, RB, CLE,RB13,9,28,41,22,25,39,31
31. Michael Crabtree, WR, OAK,WR17,10,36,28,38,31,32,33
32. Kareem Hunt, RB, KC,RB14,10,26,42,30,28,46,34.4
33. Keenan Allen, WR, LAC,WR18,9,21,34,58,37,26,35.2
34. Golden Tate, WR, DET,WR19,7,37,39,33,38,41,37.6
35. Christian McCaffrey, RB, CAR,RB15,11,32,43,34,27,56,38.4
36. Carlos Hyde, RB, SF,RB16,11,49,32,32,44,38,39
37. Larry Fitzgerald, WR, ARI,WR20,8,46,35,47,34,36,39.6
38. Marshawn Lynch, RB, OAK,RB17,10,27,30,35,52,55,39.8
39. Ty Montgomery, RB, GB,RB18,8,43,65,31,42,29,42
40. Jordan Reed, TE, WAS,TE2,5,24,55,44,47,43,42.6
41. Dalvin Cook, RB, MIN,RB19,9,55,44,36,29,50,42.8
42. Davante Adams, WR, GB,WR21,8,33,36,61,39,51,44
43. Emmanuel Sanders, WR, DEN,WR22,5,48,33,42,56,47,45.2
44. Tom Brady, QB, NE,QB1,9,39,49,50,49,40,45.4
45. Aaron Rodgers, QB, GB,QB2,8,47,48,41,48,45,45.8
46. Jarvis Landry, WR, MIA,WR23,1,66,47,49,41,31,46.8
47. Kelvin Benjamin, WR, CAR,WR24,11,38,40,60,60,42,48
48. Travis Kelce, TE, KC,TE3,10,60,56,46,45,34,48.2
49. Jamison Crowder, WR, WAS,WR25,5,45,51,56,40,52,48.8
50. Bilal Powell, RB, NYJ,RB20,11,50,59,39,43,54,49
51. Danny Woodhead, RB, BAL,RB21,10,54,66,43,51,35,49.8
52. Allen Robinson, WR, JAC,WR26,8,59,38,48,59,53,51.4
53. Tyreek Hill, WR, KC,WR27,10,42,45,66,57,49,51.8
54. Joe Mixon, RB, CIN,RB22,6,62,67,45,30,60,52.8
55. Greg Olsen, TE, CAR,TE4,11,70,54,51,46,44,53
56. Sammy Watkins, WR, LAR,WR28,8,58,37,55,67,48,53
57. Drew Brees, QB, NO,QB3,5,56,57,54,50,62,55.8
58. Martavis Bryant, WR, PIT,WR29,9,44,50,62,68,64,57.6
59. Pierre Garcon, WR, SF,WR30,11,51,61,71,70,37,58
60. Stefon Diggs, WR, MIN,WR31,9,61,46,67,61,57,58.4
61. Mark Ingram, RB, NO,RB23,5,71,58,40,54,69,58.4
62. Frank Gore, RB, IND,RB24,11,72,68,53,53,59,61
63. Brandon Marshall, WR, NYG,WR32,8,41,79,77,58,58,62.6
64. DeVante Parker, WR, MIA,WR33,1,52,52,76,72,65,63.4
65. Theo Riddick, RB, DET,RB25,7,86,73,52,73,66,70
66. Adrian Peterson, RB, NO,RB26,5,64,72,78,65,76,71
67. Matt Ryan, QB, ATL,QB4,5,65,60,68,90,72,71
68. C.J. Anderson, RB, DEN,RB27,5,74,69,75,64,74,71.2
69. Rob Kelley, RB, WAS,RB28,5,69,78,84,62,63,71.2
70. Ameer Abdullah, RB, DET,RB29,7,79,71,57,74,85,73.2
71. Jeremy Maclin, WR, BAL,WR34,10,73,53,87,86,71,74
72. Paul Perkins, RB, NYG,RB30,8,82,75,69,63,86,75
73. Mike Gillislee, RB, NE,RB31,9,97,102,65,55,61,76
74. Eric Decker, WR, TEN,WR35,8,53,88,91,87,82,80.2
75. DeSean Jackson, WR, TB,WR36,1,103,81,86,69,68,81.4
76. Terrance West, RB, BAL,RB32,10,78,76,63,78,113,81.6
77. Duke Johnson Jr., RB, CLE,RB33,9,96,74,64,77,103,82.8
78. Jimmy Graham, TE, SEA,TE5,6,91,63,70,100,97,84.2
79. Russell Wilson, QB, SEA,QB5,6,67,99,73,91,95,85
80. Mike Wallace, WR, BAL,WR37,10,77,85,94,89,81,85.2
81. Adam Thielen, WR, MIN,WR38,9,76,86,83,88,93,85.2
82. Tevin Coleman, RB, ATL,RB34,5,94,84,72,75,102,85.4
83. Donte Moncrief, WR, IND,WR39,11,80,82,80,85,101,85.6
84. Kenny Britt, WR, CLE,WR40,9,100,87,89,71,83,86
85. Matt Forte, RB, NYJ,RB35,11,75,104,82,101,78,88
86. Chris Hogan, WR, NE,WR41,9,57,94,111,106,75,88.6
87. Delanie Walker, TE, TEN,TE6,8,95,92,88,99,73,89.4
88. Kyle Rudolph, TE, MIN,TE7,9,93,62,59,124,110,89.6
89. Tyrell Williams, WR, LAC,WR42,9,99,91,95,66,100,90.2
90. Cam Newton, QB, CAR,QB6,11,104,70,81,92,104,90.2
91. Kirk Cousins, QB, WAS,QB7,5,68,100,92,93,98,90.2
92. James White, RB, NE,RB36,9,81,107,85,103,77,90.6
93. Doug Martin, RB, TB,RB37,1,83,77,112,82,105,91.8
94. Eddie Lacy, RB, SEA,RB38,6,101,103,106,79,80,93.8
95. Willie Snead, WR, NO,WR43,5,108,83,74,113,108,97.2
96. Zach Ertz, TE, PHI,TE8,10,128,64,79,125,92,97.6
97. Jonathan Stewart, RB, CAR,RB39,11,98,116,99,80,106,99.8
98. Rishard Matthews, WR, TEN,WR44,8,109,98,123,84,90,100.8
99. LeGarrette Blount, RB, PHI,RB40,10,87,134,136,81,67,101
100. Randall Cobb, WR, GB,WR45,8,124,80,96,107,99,101.2
101. Darren Sproles, RB, PHI,RB41,10,116,106,90,116,94,104.4
102. Zay Jones, WR, BUF,WR46,6,89,113,134,105,89,106
103. Thomas Rawls, RB, SEA,RB42,6,106,122,117,117,70,106.4
104. Giovani Bernard, RB, CIN,RB43,6,127,105,109,115,87,108.6
105. Dak Prescott, QB, DAL,QB8,6,121,109,119,97,114,112
106. C.J. Prosise, RB, SEA,RB44,6,115,161,93,76,116,112.2
107. Ted Ginn Jr., WR, NO,WR47,5,63,95,118,NR,88,113
108. Tyler Eifert, TE, CIN,TE9,6,114,108,125,128,91,113.2
109. Jordan Matthews, WR, BUF,WR48,6,90,96,103,NR,79,113.8
110. Jacquizz Rodgers, RB, TB,RB45,1,117,119,128,102,107,114.6
111. Derek Carr, QB, OAK,QB9,10,119,115,114,94,133,115
112. Corey Coleman, WR, CLE,WR49,9,134,124,98,114,109,115.8
113. Jameis Winston, QB, TB,QB10,1,120,114,102,95,149,116
114. Marcus Mariota, QB, TEN,QB11,8,84,130,110,98,163,117
115. Corey Davis, WR, TEN,WR50,8,105,89,113,108,170,117
116. Andrew Luck, QB, IND,QB12,11,85,131,104,132,135,117.4
117. Kevin White, WR, CHI,WR51,9,113,97,121,177,84,118.4
118. John Brown, WR, ARI,WR52,8,112,90,108,180,112,120.4
119. Matthew Stafford, QB, DET,QB13,7,174,101,97,96,138,121.2
120. Chris Thompson, RB, WAS,RB46,5,138,128,101,119,121,121.4
121. Danny Amendola, WR, NE,WR53,9,92,123,167,112,126,124
122. Derrick Henry, RB, TEN,RB47,8,140,118,124,104,137,124.6
123. Rex Burkhead, RB, NE,RB48,9,88,117,168,162,96,126.2
124. Martellus Bennett, TE, GB,TE10,8,171,133,100,127,111,128.4
125. Marvin Jones Jr., WR, DET,WR54,7,133,93,105,111,NR,128.6
126. Josh Doctson, WR, WAS,WR55,5,111,125,127,109,NR,134.6
127. Ben Roethlisberger, QB, PIT,QB14,9,172,132,107,133,134,135.6
128. Jack Doyle, TE, IND,TE11,11,129,140,161,129,132,138.2
129. Hunter Henry, TE, LAC,TE12,9,135,164,138,126,130,138.6
130. Broncos D/ST, D/ST, DEN,D/ST1,5,142,142,133,139,140,139.2
131. Seahawks D/ST, D/ST, SEA,D/ST2,6,141,141,140,140,142,140.8
132. Philip Rivers, QB, LAC,QB15,9,122,173,122,131,164,142.4
133. Chiefs D/ST, D/ST, KC,D/ST3,10,143,144,144,141,144,143.2
134. Texans D/ST, D/ST, HOU,D/ST4,7,144,143,143,142,147,143.8
135. Vikings D/ST, D/ST, MIN,D/ST5,9,147,145,146,144,143,145
136. Shane Vereen, RB, NYG,RB49,8,164,129,120,197,118,145.6
137. Justin Tucker, K, BAL,K1,10,151,148,151,151,151,150.4
138. Latavius Murray, RB, MIN,RB50,9,139,199,184,121,115,151.6
139. Matt Bryant, K, ATL,K2,5,153,153,153,149,152,152
140. Stephen Gostkowski, K, NE,K3,9,152,152,152,150,154,152
141. Jeremy Hill, RB, CIN,RB51,6,130,162,180,118,172,152.4
142. Marqise Lee, WR, JAC,WR56,8,195,112,141,192,128,153.6
143. Adam Vinatieri, K, IND,K4,11,155,154,156,152,153,154
144. Charles Sims, RB, TB,RB52,1,NR,135,132,184,119,154.2
145. Dan Bailey, K, DAL,K5,6,156,155,154,153,155,154.6
146. Panthers D/ST, D/ST, CAR,D/ST6,11,190,146,147,145,146,154.8
147. Charcandrick West, RB, KC,RB53,10,126,168,NR,160,120,155
148. Sterling Shepard, WR, NYG,WR57,8,199,120,116,172,169,155.2
149. Cardinals D/ST, D/ST, ARI,D/ST7,8,145,NR,145,146,141,155.6
150. Matt Prater, K, DET,K6,7,159,156,158,154,158,157
151. Patriots D/ST, D/ST, NE,D/ST8,9,146,NR,149,143,148,157.4
152. Alvin Kamara, RB, NO,RB54,5,131,179,165,137,176,157.6
153. Darren McFadden, RB, DAL,RB55,6,136,169,187,135,162,157.8
154. Kendall Wright, WR, CHI,WR58,9,123,197,169,178,122,157.8
155. Eric Ebron, TE, DET,TE13,7,186,139,142,NR,124,158.4
156. Torrey Smith, WR, PHI,WR59,10,168,111,137,181,NR,159.6
157. D'Onta Foreman, RB, HOU,RB56,7,125,NR,181,120,173,160
158. Andy Dalton, QB, CIN,QB16,6,175,138,126,NR,171,162.2
159. Wendell Smallwood, RB, PHI,RB57,10,107,136,NR,198,174,163.2
160. Jason Witten, TE, DAL,TE14,6,NR,172,115,NR,131,164
161. Dustin Hopkins, K, WAS,K7,5,158,191,157,158,157,164.2
162. Mason Crosby, K, GB,K8,8,160,157,155,155,199,165.2
163. Carson Wentz, QB, PHI,QB17,10,165,193,163,130,178,165.8
164. Tyrod Taylor, QB, BUF,QB18,6,173,194,130,NR,139,167.4
165. Kenny Stills, WR, MIA,WR60,1,185,137,131,189,196,167.6
166. Jaguars D/ST, D/ST, JAC,D/ST9,8,148,147,150,NR,NR,169.4
167. Bengals D/ST, D/ST, CIN,D/ST10,6,NR,151,148,147,NR,169.6
168. Samaje Perine, RB, WAS,RB58,5,180,176,175,161,161,170.6
169. Tyler Lockett, WR, SEA,WR61,6,183,110,174,188,NR,171.2
170. Cole Beasley, WR, DAL,WR62,6,200,167,176,NR,117,172.2
171. Jamaal Williams, RB, GB,RB59,8,NR,127,170,164,NR,172.6
172. Austin Hooper, TE, ATL,TE15,5,162,171,166,NR,167,173.4
173. Cairo Santos, K, KC,K9,10,192,NR,160,156,160,173.8
174. Cooper Kupp, WR, LAR,WR63,8,102,NR,NR,169,NR,174.8
175. Jamaal Charles, RB, DEN,RB60,5,NR,126,162,185,NR,175
176. DeAndre Washington, RB, OAK,RB61,10,137,NR,NR,138,NR,175.6
177. Jalen Richard, RB, OAK,RB62,10,132,NR,193,159,NR,177.2
178. Robert Woods, WR, LAR,WR64,8,196,184,199,182,127,177.6
179. Giants D/ST, D/ST, NYG,D/ST11,8,NR,149,189,NR,150,178
180. Eli Manning, QB, NYG,QB19,8,NR,175,135,NR,179,178.2
181. Dion Lewis, RB, NE,RB63,9,NR,200,177,122,193,178.6
182. James Conner, RB, PIT,RB64,9,176,NR,NR,123,NR,180.4
183. Wil Lutz, K, NO,K10,5,154,NR,192,NR,156,180.8
184. Taylor Gabriel, WR, ATL,WR65,5,NR,165,139,NR,NR,181.4
185. Devontae Booker, RB, DEN,RB65,5,193,NR,NR,136,177,181.6
186. Carson Palmer, QB, ARI,QB20,8,198,174,171,NR,165,181.8
187. Devin Funchess, WR, CAR,WR66,11,NR,121,195,191,NR,181.8
188. Mohamed Sanu, WR, ATL,WR67,5,161,163,186,NR,NR,182.4
189. Cameron Brate, TE, TB,TE16,1,NR,NR,185,NR,125,182.6
190. Chris Boswell, K, PIT,K11,9,NR,158,159,NR,NR,184
191. Breshad Perriman, WR, BAL,WR68,10,184,183,164,190,NR,184.4
192. Julius Thomas, TE, MIA,TE17,1,166,178,196,NR,184,185
193. J.J. Nelson, WR, ARI,WR69,8,NR,186,179,168,195,185.8
194. Curtis Samuel, WR, CAR,WR70,11,169,196,NR,171,192,185.8
195. John Ross, WR, CIN,WR71,6,170,NR,183,174,NR,185.8
196. Will Fuller V, WR, HOU,WR72,7,NR,NR,129,NR,NR,186.6
197. Paul Richardson, WR, SEA,WR73,6,NR,198,NR,NR,136,187.4
198. De'Angelo Henderson, RB, DEN,RB66,5,NR,NR,NR,134,NR,187.6
199. Chargers D/ST, D/ST, LAC,D/ST12,9,NR,189,NR,148,NR,188
200. Nelson Agholor, WR, PHI,WR74,10,167,NR,NR,173,NR,188.6
